"","Disease","IFN","Gender","Age","Ethnicity","Flare","Severity","SLEDAI","Years_of_disease","disease_status","Steroids","Affected_Renal","BILAG_severity","SLEDAI_class"
"MEfirebrick4",0.158518784780243,0.269369161682676,0.311376184389764,-0.154409036409402,0.208514414057075,0.0629940788348712,0.186310328381275,-0.0111080640491832,-0.401677156202747,-0.425524885960185,0.123717914826348,0.0771516749810459,-0.776898596067356,0.0768322049753197
"MEsalmon",-0.0226455406828919,0.0863782570137456,-0.0283069258536149,-0.289180015819104,-0.0893633203101749,-0.251976315339485,0.0478033079399324,-0.0148107520655776,-0.401677156202747,-0.523722936566382,-0.340224265772458,-0.270030862433661,-0.597614304667197,0.0749113998509367
"MEbisque4",-0.158518784780243,-0.0687751051104705,-0.0849207775608447,-0.472083487875128,0.312771621085612,-0.0944911182523068,-0.275788315038071,-0.464687346057498,-0.569042637953892,-0.556455620101781,0.185576872239523,0,-0.776898596067356,-0.455230814478769
"MEdarkseagreen4",-0.226455406828919,0.0900626376446637,-0.198148480975304,0.118598461880538,-0.104257207028537,-0.188982236504614,-0.187127478944351,0.0777564483442826,-0.686198475179693,-0.163663417676994,-0.247435829652697,-0.578637562357845,0.298807152333598,0.169030850945703
"MEpaleturquoise",-0.283069258536149,-0.102343906414391,-0.169841555121689,0.169041314173884,-0.1191510937469,-0.0314970394174356,-0.30316285890111,-0.177729024786932,0.0585779186129006,-0.523722936566382,-0.21650635094611,-0.154303349962092,-0.657375735133916,-0.170951656070086
"MEfloralwhite",0.192487095804581,0.218606584101138,0.11322770341446,0.18020805246783,-0.193620527338712,0.0944911182523068,0.254133825116564,0.368417457631244,0.0753144667880151,0.163663417676994,-0.402083223185632,0,0.358568582800318,0.480201281095748
"MEbrown4",-0.0452910813657838,0.0438031919453592,-0.169841555121689,0.182903472056024,-0.223408300775437,-0.0944911182523068,0.100100943976781,0.457281970024709,-0.24267994853916,0.261861468283191,-0.433012701892219,-0.462910049886276,0.896421457000795,0.54550865532477
"MElightgreen",-0.101904933073014,0.180944026540643,-0.311376184389764,0.0589141709990984,-0.253196074212162,0.188982236504614,-0.00612862922306825,0.401741649778793,0.610884008391678,0.130930734141595,-0.433012701892219,-0.38575837490523,0.119522860933439,0.522458993832174
"MElightsteelblue",0.0566138517072298,0.0777813688749368,0.283069258536149,0.184443711820707,0.0148938867183625,-0.220479275922049,0.122164009179827,0.259188161147609,0.192470304013816,0.163663417676994,-0.21650635094611,0,0.418330013267038,0.33998250701579
"MEplum2",0.0339683110243379,0.0352063038065504,0.169841555121689,0.0989604048808384,0.0595755468734499,-0.0629940788348712,0.0388146517460989,-0.00370268801639441,0.00836827408755723,-0.360059518889387,-0.278365308359284,-0.270030862433661,-0.119522860933439,0.119089917711746
"MEdarkgrey",0.464233583999284,0.056084460715086,0.254762332682534,0.270312078701745,-0.1191510937469,0.28347335475692,0.462915793982422,0.248080097098425,0.828459134668166,0.0327326835353989,-0.154647393532935,0.154303349962092,-0.179284291400159,0.242021445672257
