"","Disease","IFN","Gender","Age","Ethnicity","Flare","Severity","SLEDAI","Years_of_disease","disease_status","Steroids","Affected_Renal","BILAG_severity","SLEDAI_class"
"MEviolet",0.481714651342862,0.0990338571947788,0.656891674786497,0.308622456746901,0.30266527446505,0.212429096340935,0.930968705618458,0.173739553997407,0.210016020440459,0.0431346762146172,0.15201294930081,0.396113032222356,0.64202084785778,0.193475070679438
"MEdarkmagenta",0.572645525739554,0.861570428166734,0.904978626721027,0.750961328998678,0.356776947682867,0.155124540042909,0.652158225617737,0.91313232619007,0.000815240118885498,0.91957129363796,0.0632387160803197,0.616612496779092,0.880793403827163,0.541827854268362
"MEtan",0.572043994372633,0.898266980403856,0.825467950112425,0.694608172435194,0.276665605472064,0.972145882398732,0.72284631947126,0.415804819431791,0.000590828936244509,0.498128376351714,0.0353779595297161,0.333188313825096,0.0440328958603021,0.137479167862394
"MEdarkolivegreen4",0.501508220314942,0.137457571888405,0.439982498039731,0.629064124340851,0.987919928140695,0.425484390141251,0.952438766498717,0.256695477922859,0.000351307749056599,0.136212111110639,0.5782136638494,0.707591490764764,0.000786637275442717,0.352737339869013
"MEyellowgreen",0.234940590770864,0.838789907727969,0.221804207871818,0.636968256254489,0.778963909809265,0.885513113248681,0.521234422772458,0.676821498773127,9.2676817985479e-05,0.473952719563527,0.929517758056501,0.520234524322291,0.0215936860905956,0.93057282749522
"MEcoral1",0.368350210709692,0.123286690186911,0.273818914100649,0.708942402727726,0.243342807863433,0.542952964205273,0.876989240357166,0.432480467427209,0.94890412216946,0.812215045590523,0.97265745501173,0.00085271989420277,0.0548884481514793,0.4960374276383
"MEgrey60",0.687665253890016,0.0938789897910686,0.935737904544009,0.732068281623543,0.0776987845299361,0.414663864870024,0.968508315828532,0.364820111384694,0.83606579556276,0.367132650642002,0.107083405644917,0.0011596022685131,5.3427410568532e-06,0.307311317617875
"MEplum1",0.439679160839555,0.158087918393108,0.0226562953641134,0.127049424334357,0.472712788727,0.74936951495346,0.171937772251804,0.331599449006016,0.125551892162551,0.0215348477406077,0.525626699085817,0.318897104636289,0.00245062377674221,0.456421710166791
"MEpink",0.934181261912661,0.138246187857095,6.68026589505592e-14,0.0806498511233776,0.134509855002863,0.170472595607512,0.0930621824226853,0.00550163196581527,0.281080622813307,0.655645664073867,0.294928974618017,0.00927120901831687,0.00225143680635884,0.0536177958822923
"MEskyblue1",0.120731132049939,0.379893665744531,0.000148947986434787,0.402919641503596,0.601359688828995,0.000138373984401712,0.0131434046063457,0.0203386595433479,0.316485185983106,0.0672465923534475,0.129330251434989,0.155085176630605,0.336503180785133,0.15767066611613
"MEgreenyellow",0.775306080877999,0.245430941883356,0.460331752826828,0.0678152337586537,0.281998916306454,0.190432406411617,0.752272354488603,0.198415195811712,0.389342249609407,0.0178328015711489,0.0808471477858751,0.227063685508487,0.182392131556167,0.239454644455453
"MEplum",0.227407808888167,0.731111486649007,0.00220572237953512,0.0276618106859773,0.974378852348982,0.752760076348399,0.085624320571273,0.335190389530412,0.46840972556085,0.269521472962041,0.518651705982634,0.376352478393808,0.199794439795526,0.63788469451154
"MEbrown",0.760653119298464,0.52932575772189,0.31676766421411,0.386698583870966,0.259448244315115,0.661902158622169,0.488805531097341,0.394410203366967,0.455622874417756,0.0737170385851208,0.575200388094602,0.603718167045247,4.17005229501607e-06,0.307957969546388
"MEgreen",0.850307173531182,0.453611273326099,0.664956934262402,0.564460003503591,0.580370069459635,0.000105484119669376,0.669432816355535,0.180441405225447,0.747803475689039,0.0018078114427508,0.0148053663656613,0.355262467277843,0.601183862109022,0.45210909640144
"MEdarkorange",0.111449340023961,0.978742076582382,0.47233694180956,0.932448223038813,0.861572025393297,0.898674401346834,0.28171107967773,0.726217659591495,0.29928103166836,0.484315260097359,0.453393799621356,0.259690072232511,0.758681414146748,0.573438909067661
"MEpurple",0.219879076437522,0.629281414127402,0.167624650297059,0.872239530278032,0.33105456505561,0.40160920910013,0.172498310562025,0.455196660571725,0.878743371826409,0.808937191064238,0.690719822148127,0.0407037548610247,0.344318148359143,0.56156895653773
"MEpalevioletred3",0.434568397071888,0.0733950017520951,0.304081851473369,0.19347701696908,0.659418913416944,0.317525269013975,0.0440548730424074,0.00466844837929297,0.937161574059153,0.988625841878464,0.135154561915546,0.670657385530312,9.57390971680467e-05,0.00297134981814943
"MEblack",0.020601047628775,8.86124161804109e-05,0.0557515888623895,0.758948857656991,0.455159056953287,0.00439590912026735,0.000210440086271642,0.000746415169290062,0.523172657992629,0.0574389299751766,0.889060358099561,0.221688481948911,0.0635652977049104,0.000641802041797982
