"","MEdarkred","MEpink","MElightgreen","MEsteelblue","MEwhite","MEyellow","MEdarkolivegreen","MEsaddlebrown","MEpaleturquoise","MEred","MEdarkmagenta","MEskyblue","MEskyblue3","MEtan","MEgreenyellow","MEyellowgreen","MEbrown","MEdarkgreen","MEdarkorange","MEgreen","MEmidnightblue","MElightcyan","MEcyan","MEsienna3","MEblack","MEsalmon","MEdarkturquoise","MEturquoise","MEblue","MElightyellow","MEorangered4","MEgrey60","MEorange","MEviolet","MEdarkgrey","MEmagenta","MEplum1","MEpurple","MEroyalblue","MEgrey"
"SLE56",-0.172352846944224,-0.106980956351292,-0.301180005404764,-0.238838944270425,-0.0551460439720004,0.224123327843932,0.020904206633272,-0.136744264071002,-0.202889215879965,-0.226104229956595,0.700096473065316,-0.117900034990488,-0.011363302331727,-0.0688975835573788,-0.102869018340381,-0.204578250976999,-0.102510666058677,-0.076964061046202,-0.107913375222221,0.0721417656400584,0.529461241162971,-0.119127255724015,-0.0493813983011503,-0.0711932612881829,-0.427426353454653,-0.158638234130311,-0.174554370229508,-0.0766010344268786,-0.0675106631149221,-0.152902041424854,-0.0921834437774915,-0.123378728347899,-0.0608183471658112,0.238038724928966,-0.0131473275697602,0.00611447076693113,-0.0186384207734771,-0.0498270986686866,-0.194347746619049,-0.101177488666561
"SLE57",-0.239247740079975,-0.109977422846358,-0.139387447438831,-0.22123844944826,0.00138602984355302,-0.167808159458568,-0.211874780995434,-0.175734375712285,-0.177754271029206,-0.168635275486231,-0.271107489080875,-0.161331654217656,-0.00570234531332943,-0.00454767904978294,-0.0165589771372352,0.192313660066679,-0.0273784067979714,-0.0455197306624747,-0.0322993224309606,-0.175178111504551,-0.17711261973747,-0.0745969736024287,0.0108464541220936,-0.0244061812780667,0.00905010212927531,-0.0667775172951294,-0.038957137458437,-0.0111422121991535,0.0495452908682921,0.155024481132579,-0.0522271178659044,-0.146287160185681,0.000632455989391289,0.0350513464918813,0.357219879237008,0.0586102384724858,0.399520204234153,-0.0126904854026001,-0.0501525830350503,0.0146711634028715
"SLE58",-0.138328031076886,-0.101447595648841,-0.22464259128666,-0.297848709803696,-0.0351180381240763,-0.0818032393367337,-0.1856066104897,-0.159043375408263,-0.111648104377806,-0.147285177148198,-0.0391336613580503,-0.199345749369999,-0.128028561394908,0.00641213405670166,-0.0844701350801721,0.0975848073592737,-0.0519060594917228,-0.0716603996387519,-0.0415839476353275,-0.184542836555768,-0.108250919823875,-0.20033375181062,-0.0101597128504202,0.0344309754337905,0.0166947360044843,-0.0785853353021456,-0.049085961102417,-0.0198218291372126,0.0491558756691943,-0.0355418991092051,-0.0640917322116192,-0.120826282968161,-0.0526482436151642,0.119038006343847,0.202680870992434,0.143181975763804,-0.176019491320733,-0.0172945355679863,-0.128725367732511,0.0849016825105937
"SLE59",0.0299838922804788,-0.0845579787126078,-0.170761378749794,-0.268482547789416,-0.158308204544302,-0.0698173327698819,0.052563598539931,0.136652008490998,-0.272910937763476,-0.000750363030200131,-0.126279965108056,-0.162433530904663,-0.162193987111648,-0.215472790153671,-0.15985209087645,0.238897694345664,-0.139357024189253,0.544631292317251,-0.114290988193712,0.0707508949146484,0.214723381745264,-0.0465945333062681,-0.150967225924653,0.544190567557085,0.222700884831358,0.1854341302295,0.592096497094441,0.953212341132636,0.373005065360098,0.287034603371492,-0.150818390344746,-0.109572517224551,-0.131618771617032,0.0662253430744305,-0.0931986384513318,-0.269387350253831,-0.137706008114085,-0.147447399941125,-0.16669354574445,-0.394550780043698
"SLE60",-0.19055597663261,-0.0941187480249544,-0.102344638700435,-0.107739319712451,-0.055670713342198,-0.236942408561498,-0.347271965843779,-0.1984451720707,-0.128095752558681,-0.167166098238161,-0.223771706023679,-0.178468131280479,-0.170014876097285,0.0304823895530673,-0.028291061110788,-0.0475290844384147,-0.0366557585703121,-0.0256808420362899,-0.0190117073398253,-0.277925436612585,-0.141331837264569,0.0784475059413852,-0.00693097874445594,-0.00383320038120636,0.13036198821692,0.322504517715162,0.0319490025757485,-0.0358087503389894,-0.0692650699284911,-0.0695226305360316,-0.0240796625375773,-0.0674795062974502,0.0117345499666813,-0.217229640989741,0.0875336194682274,0.000630201932316001,-0.0667236703718992,-0.0400898501210459,-0.0308683877857379,0.0549885764571371
"SLE61",0.101647559685744,-0.0946533483846034,-0.174997257143778,-0.160794302142974,-0.00822461311785704,-0.132715729747501,-0.144546153693988,-0.0424823042574734,-0.117225954473737,-0.104110402209767,0.0038379289625619,-0.0852281013144198,0.193709728477477,-0.00862204846890648,-0.0387180798854094,-0.131137492173896,-0.00865482622299432,-0.0934157730757872,-0.0341107991420497,-0.112814028178984,-0.079084549188388,-0.106513230589971,-0.0308630008045155,0.0138578786425492,0.134962889731834,0.30212894786521,0.00700089271657698,-0.00391365869968845,0.0484922390957039,0.0302150170877183,0.0355756997249725,-0.0851818848287968,-0.0267620527517838,0.0806312821751972,0.15821522148707,0.109875174496255,0.0987133907889315,-0.0361131597629542,-0.0450774126147954,0.0485826699873641
"SLE65",0.324843822952267,-0.0524899649084343,-0.0612503119871871,-0.125646044691084,0.0272160901291006,-0.11905009357354,0.0210251837788162,-0.0237240776139664,-0.0098036687343118,0.178130865230793,-0.00541730342907278,0.060503949062836,-0.106310233054627,0.926342135289712,0.0140394225368139,0.389102323853475,0.00200294536178953,-0.038735348423616,0.0748787962017483,0.0312698237823447,-0.0434612081539219,-0.138083953703345,0.00381128521798344,-0.0132958404030869,0.0562868615944027,-0.099172643496009,0.066025143048627,0.0596204174062051,0.268917333511085,0.243748340472107,0.0223490699619069,-0.00715377302608348,-0.0314193979361462,0.0817163067499968,-0.0369754165733526,-0.148043666265849,0.066488503466455,0.0180083387907247,-0.037291899055777,0.158586357806606
"SLE66",0.0198237590049331,0.0270259502380672,0.0343887669075266,-0.139866029327429,0.0759836750912915,-0.0580958706078024,-0.0434979370980363,-0.0320528821954548,0.203228475529852,0.140278625945975,-0.122849187388102,-0.148637112950247,0.152900196780543,0.0839148127875814,0.0568358553924838,0.0212496129150885,0.0732599714920916,0.0721949332771703,0.0266118915820423,-0.138014035933308,-0.0740119950202638,0.269726904548579,0.099917110809114,0.0325535561704256,0.230380868846515,0.204322233299654,0.1134286825951,0.0703625244031841,0.203620039244578,0.0458482309185517,0.172254952940666,0.514764148460257,0.952087971506519,0.0522624816659717,0.147460539099456,0.123040207353486,0.0965527941388757,0.0915938529521107,0.205041656394644,0.40136486683438
"SLE69",-0.287408347730455,-0.0785971895841301,-0.1955366711275,-0.300179523026296,0.0252039273149065,0.0933941918526868,-0.148436910968964,-0.0864255427171491,-0.18410712875405,-0.215095891120564,-0.115482300058815,-0.215539530780968,-0.12721647227891,-0.0848777616187584,-0.0508505933102323,0.0735568417742402,-0.0745054306700913,-0.103079047837412,-0.0794779598267499,0.492212184207017,0.262428683219228,0.433402239790818,0.948915798034048,0.733130563382135,0.127081690887404,0.290243797416063,-0.0686462536852571,-0.0387920358518075,0.173926739719824,0.256613276107693,-0.0384672212989951,-0.124204935886702,-0.0111591180213963,-0.139294492946458,-0.044885892231335,-0.175775543423525,-0.175953413554139,-0.0938922674076998,0.110432791629762,-0.217926214566985
"SLE70",-0.0240420189354091,-0.0956544320714302,-0.120777956265015,-0.150769888387278,-0.00258155683908635,-0.164292987197355,-0.170059877012073,0.00864554563311435,-0.0209320495349366,-0.0122299797315669,-0.000453783117197712,-0.146314448965824,-0.159279500346215,-0.00993563062422502,-0.0252687021168243,-0.128102802491987,-0.0276052545806347,-0.0358365742962889,-0.0156350928702733,-0.206610293009783,-0.128178199976223,-0.163612898202411,-0.0149896705973817,0.0306981722856497,0.103238338355322,-0.000717788952421463,0.0198913121234686,-0.0100109827462625,0.0498698752360905,0.0140963070787379,-0.0302603758333188,-0.00557638180376786,-0.0353458937561345,0.138051134806685,0.349877590432978,0.255623669664049,-0.150036249683156,-0.0245406866498756,-0.101962798939687,0.109314368397486
