"","MEdarkred","MEblack","MEbrown","MEpurple","MEroyalblue","MEmidnightblue","MEgreen","MEtan","MEdarkgreen","MEyellow","MEgrey60","MEblue","MEturquoise","MEred","MEpink","MEsalmon","MEcyan","MElightcyan","MEgreenyellow","MEdarkgrey","MEdarkturquoise","MElightgreen","MElightyellow","MEmagenta","MEgrey"
"SLE16",0.41174445876101,-0.0205670759959021,-0.00493772242011599,-0.0232191048404378,-0.061868089477752,-0.0392995356765118,-0.0522677632596271,0.0689115194052533,-0.0607761841165426,-0.127278362005486,-0.0117507818637327,0.108156915161595,-0.00570675201085083,0.0798509039139823,-0.025861546330748,0.0493320554127291,0.128420667503442,-0.0231390192651079,0.0138297075616835,0.355420036676184,0.168784306453228,0.406121496796431,0.297639087719705,0.774083381819328,-0.016662749990458
"SLE18",0.0739694312268608,-0.00340081726637441,-0.134171428983013,-0.0439075214963059,-0.0402545500568565,0.0240371258995846,-0.0756420340145294,0.0251474932510042,-0.0280746000638679,-0.156512187648009,-0.103890367313569,0.108024147586019,-0.0308618219264231,0.166354760298399,-0.0940051364934267,-0.00458745632519723,-0.0318601754450781,0.935960094856764,0.0481501201609691,0.213965528259163,-0.0158820398541151,0.287444518596255,0.365574619722277,0.337178766943364,0.00571359328732597
"SLE25",0.397326824502805,0.16968666966787,-0.125697300301515,0.0179210107400984,-0.0369166679299524,-0.00830319788858953,0.178619663940383,0.032266907792472,0.0720582062158458,0.142177692296033,0.309238627019708,0.266852772046014,0.306014678763707,0.33011776964223,0.047725147099628,-0.0343467923713145,-0.0804954630369571,0.0379696432509953,0.0176338645328332,0.132488287580097,0.146509623930584,0.175435638891394,0.154372932403444,0.15200187609534,0.214196457404235
"SLE26",0.0865360694458739,0.0533760259343867,-0.00991210815821284,-0.0129164916703175,-0.0522410777883318,0.0763998379425907,0.00981968780062801,-0.0593586854178875,0.128613284064223,0.118901681396473,0.098758017624012,0.142604415361262,0.156912867049226,0.139872750653499,0.0178756414727314,0.659653538931159,0.0566735611472764,-0.0268548246635037,-0.031453931359811,0.10486659437358,0.127550591368942,-0.0448369618848787,0.0491158454348253,-0.037055998944926,0.0430856021838229
"SLE27",-0.18361539550279,0.0163084018182969,-0.136982869611812,0.0105425521751943,0.00714086100237674,0.701207042858246,0.0971386191889644,0.0826809194144401,0.224300003995404,0.511794277449494,0.521807176895774,0.249335692948246,0.19113778986322,0.170549127026312,0.118922580749523,0.0950411130172736,-0.0962783555573948,0.0396736273254652,-0.0150826242819004,-0.00666181472034405,-0.0251652261488033,-0.191052718849648,0.00742389954021356,-0.10227599341213,0.111878923500719
"SLE28",0.296185831909702,-9.96609042907794e-05,-0.0637349380236157,-0.0363872912060486,-0.00383360860495178,-0.107256462459735,0.0688035829714847,-0.0213573308891447,0.0705061183875923,-0.0140846670585689,-0.0495444558708554,0.00421133146978154,0.0566906713204555,-0.232692731208294,-0.0458632638439615,-0.0911569139678682,-0.0663299823416813,-0.0401182075294526,-0.0571670204431255,0.192092022372249,-0.115064261602961,-0.135919059377458,0.0580026989337475,0.0947252299062658,0.0646709567168562
"SLE30",0.000849613251271609,0.0113651314236723,-0.194069410071098,0.27965552456278,0.958727350054493,0.102743640213526,0.22140471303239,0.0237461018406694,0.15394337396566,0.185234900438792,0.394581604978726,0.167285130200487,0.274390525110328,-0.246519471468459,0.0395530638331382,0.0166592437117631,-0.306829047319144,0.0347636556615659,-0.061336105672822,0.124099815858143,0.106486205391744,-0.0455083533252853,-0.0144855758996472,-0.0377816611210925,0.125849058871525
"SLE31",0.00120908946053716,0.178249626185576,0.249580239639251,-0.0958131944319082,0.0343726165054057,-0.220508908884793,-0.345723462586988,-0.170747205161817,-0.0606605295168915,-0.0535934995115417,-0.11125819899792,-0.129789324321177,0.194637848435781,0.0348351687345533,-0.105547707888435,-0.125243286812284,0.251784821089757,-0.0939167117378907,-0.166453443794358,-0.0456730487135934,-0.0921117907477619,0.00687349620095594,-0.262764479912869,-0.147073292673758,-0.0503034351480582
"SLE33",0.0711936858057169,0.0321062423652308,-0.0115523036401998,0.0399125553562199,0.00296606082975902,-0.0748633999045573,0.00951579866980663,-0.0053252664739889,0.0647088426262588,0.0961070078301559,0.161499571206905,0.0606125467481182,0.182015620955406,0.212947968071162,-0.00739004607317979,0.0352529995963493,-0.00403890809436881,0.0214171673624267,-0.062980677915188,0.0935209660065075,0.157604053656171,0.0631980598626769,-0.0632095946070542,-0.00361400810110023,0.0883991549414196
"SLE35",-0.0337204547770447,0.0266477686042411,0.487261610662238,-0.0444107892595087,-0.0799708036610498,-0.163946581084212,-0.0440839036178539,-0.105773688521991,-0.154694397594963,-0.119630160531057,-0.0653099251932043,-0.215612614210368,-0.128594961552482,-0.127377560676608,-0.0678130688794682,-0.0646547202741314,0.624885043069012,-0.0357474033953529,-0.129683884807599,-0.0585370104132199,0.0749473711308718,0.262505109596014,-0.144852024340526,-0.0663063669895415,0.0348197991952257
