"","Age","Ethnicity","Flare","Severity","SLEDAI","Years_of_disease","disease_status","Affected_Renal","BILAG_severity","Steroid","Quinie","MMF","MTX","Azathrioprine","other_IS"
"MEdarkorange",0.889132465120063,0.202936319834925,0.339284769720858,0.684813696354847,0.466904160561574,0.652418850139667,0.688439102806838,0.5177222172117,0.119574228844684,0.394075062488196,0.291449997700397,0.390473303034844,0.650282706246462,0.887097812546349,0.91438297904539
"MEgreen",0.0976607686448507,0.284069014039006,0.466056614488646,0.0889544351827569,0.0733986591638093,0.412010207305603,0.798313675909988,0.308448128846907,0.920672010067302,0.645287244839568,0.365624366606761,0.0780231063479168,0.197126645610925,0.459383630215976,0.456952710079403
"MEmidnightblue",0.811125863038857,0.523704927936686,0.730373014474082,0.590794760909743,0.734389017734442,0.334069500940961,0.348872110262727,0.941217059169533,0.864822504237501,0.371690866239041,0.577258600705069,0.163620812754271,0.094139465245749,0.692582735229377,0.663411867320357
"MElightcyan",0.110712450220894,0.479222763134062,0.997735168254161,0.265646951169287,0.344030003048667,0.17428562071248,0.451801028454307,0.486024765303258,0.0288907181693791,0.763020951840642,0.0699027080071811,0.129093718676102,0.734456420084803,0.142354403569109,0.436747085831752
"MEcyan",0.116758993350603,0.355645539836235,0.268591652536822,0.100151365136789,0.474594576475177,0.101736624064715,0.673688385274641,0.0914772183932276,0.176115191123962,0.51348461896416,0.205575191529728,0.0416225574876783,0.834713309078646,0.593093043873198,0.850038795929354
"MEsienna3",0.994814386722231,0.944659245799897,0.138274266619199,0.412968639191204,0.54876616413265,0.554093028109728,0.571391854366967,0.489995349882176,0.217447111229462,0.517950243961954,0.797250465489613,0.245162675987677,0.747889014736972,0.86210692726107,0.802781883024667
"MEblack",0.519006086353909,0.223309755523016,0.739460649168091,0.87162431783675,0.885347017340665,0.845636535685224,0.160423023786167,0.183990349945042,0.668519150603482,0.0428552548043828,0.580151534142942,0.888731162952959,0.698254179913756,0.212645263655436,0.573670814309482
"MEsalmon",0.333378785498815,0.303604125859522,0.103643794707158,0.221252142698688,0.236007284002014,0.417719622366385,0.0449332741867877,0.131630335598897,0.0279391868281455,0.358337362011013,0.545076610244541,0.627571064154951,0.253333606157533,0.270474911251159,0.681941109886494
"MEdarkturquoise",0.768083340627341,0.935165065404651,0.971700705598109,0.661475408167093,0.987835794249159,0.0716040942814189,0.351702676350947,0.328659522218023,0.0542425317007717,0.098338043480143,0.989634819443433,0.385423896680768,0.393782964772037,0.543799335264452,0.983435245402712
"MEturquoise",0.253839448223156,0.207209168747299,0.181330484589646,0.252472187419929,0.58942360669094,0.0348857445328137,0.0253830077918093,0.550243598793143,0.00318973734349408,0.241746361755267,0.286123420962828,0.585098830303069,0.602944510350498,0.707060811552474,0.731801285026332
"MEblue",0.756514692028877,0.46229606520602,0.00594067412598673,0.51020888973432,0.592105508052005,0.686265577250037,0.00506877203549636,0.906031046486668,0.0167778358720826,0.242913457405829,0.38429396931307,0.996296374776205,0.144646443216604,0.272161802329287,0.258219243430129
"MElightyellow",0.489515634569743,0.930893854581487,0.883437000801801,0.627195927978796,0.223773736666259,0.499267179117744,0.228057021622224,0.632306431457787,0.824595261536416,0.747202463941811,0.599347612224718,0.299829142294167,0.757625826310048,0.806693318131839,0.615969474764229
"MEorangered4",0.535741291710994,0.643042602047056,0.318549531506339,0.360719566214121,0.296221899394451,0.578505865744347,0.691255083218086,0.638009135477779,0.858778402484574,0.599656619358802,0.215754123375389,0.590617548252042,0.678548169732505,0.354433898361953,0.466767406498326
"MEgrey60",0.28627301190006,0.24559978224666,0.840284359895233,0.234980233510309,0.134877161446773,0.527846474977811,0.262392028431232,0.794460926280438,0.0896423172497803,0.0484455511954121,0.514383054426105,0.231061750110708,0.38189070242613,0.00298618162804011,0.904264475277868
"MEorange",0.187623614286,0.298599311671143,0.288300675713779,0.307991198666946,0.110864486134662,0.184534054776739,0.138062161430793,0.508476536906284,0.0959773278539347,0.652743057684917,0.266760412441471,0.516962407369004,0.748446197798698,2.02991017580735e-18,0.857095816666445
"MEviolet",0.19032360109527,0.686933268049552,0.211913662336519,0.879996696375941,0.69447620690942,0.0939175427456397,0.37912135528869,0.855803093510674,0.954463117549482,0.854483774228605,0.484419019357057,0.294159426004043,0.18729809738405,0.780265660838896,0.415724730789531
