,Zsummary.qual,Z.propVarExplained.qual,Z.meanSignAwareKME.qual,Z.meanSignAwareCorDat.qual,Z.meanAdj.qual,Z.meanMAR.qual,Zsummary.pres,Zdensity.pres,Zconnectivity.pres,Z.propVarExplained.pres,Z.meanSignAwareKME.pres,Z.meanSignAwareCorDat.pres,Z.meanAdj.pres,Z.meanMAR.pres,Z.cor.kIM,Z.cor.kME,Z.cor.kMEall,Z.cor.cor,Z.cor.MAR
green,97.0986315714779,61.5314935381964,55.0906872925511,132.665769604759,198.300035391363,19.9034948596697,19.1443063927902,13.1808339571313,25.1077788284491,5.5918259295615,12.9094562550382,25.6475182418521,13.4522116592245,16.1102856958749,16.3672562076174,25.1077788284491,73.3163640341964,31.6219407744587,17.9319777813973
greenyellow,87.9996628278144,51.4497181609013,45.5401473401166,124.549607494728,126.6980337484,9.26972966026701,1.41652589222014,-0.864779275853696,3.69783106029397,-4.55739536918938,2.19882388922956,2.07440281680259,-3.80396136850998,-0.960596836115762,1.62999783789331,3.69783106029397,34.1841731053834,3.72148381964412,3.29940469029106
grey,-12.181887488362,-6.99219195612533,-4.48612993562658,-21.1552579952705,-17.3715830205987,-6.85682245316314,15.7435389465884,-0.578244394118497,32.0653222872952,-10.4183711611644,9.26188237292743,30.7113772263873,-10.7375307067503,-8.3542861466909,10.786896305713,32.0653222872952,65.5280677050578,41.7303819652652,33.9832120182765
grey60,78.1887696151798,49.2413252560791,44.6143331930665,107.13621397428,157.13275323865,17.0824579982901,13.7880611428032,10.9471648832092,16.6289574023971,6.43288642892216,8.21028912812738,13.6840406382911,27.3398533301293,15.5152871754561,13.6933589702472,16.6289574023971,75.3878749844785,17.8213877352894,12.7611825485406
lightcyan,77.0776385439682,47.1662846402451,42.2648609760957,106.988992447691,121.556433684293,12.3452521352253,17.830806773914,18.248946589465,17.4126669583629,12.1188712493325,12.4490202425884,24.0488729363416,31.0637770658915,13.1286794157473,13.4850000154537,17.4126669583629,89.5513033810665,22.1523399210553,11.7456812459403
lightgreen,81.683344869987,49.9372133051329,41.7652888749311,113.429476434841,155.860875510096,12.7681961663088,17.1163301633144,16.7589081637668,17.4737521628621,12.3781639452105,12.1924941277938,21.8663838283217,21.139652382323,7.32355371633423,8.29476895529419,17.4737521628621,73.8168667165096,21.7265909636632,10.1876003186753
lightyellow,75.9900630516289,48.9482014883592,41.0913284647599,103.031924614899,138.28575949014,14.2172610799648,14.4909669677806,17.6046199787808,11.3773139567805,11.3975447450103,10.6298598069722,23.8116952125512,39.3240529300068,16.0777530791532,9.40944546096388,11.3773139567805,73.2170848379693,19.589547428484,14.2568109261088
magenta,90.5401409794755,57.3368191874088,48.1634719462827,123.743462771542,184.546349819554,18.7201392517176,32.8007780249809,42.9747638708372,22.6267921791246,19.4312864915541,21.6109899338477,64.3385378078268,72.3994498631466,21.4638948370972,12.7786733339405,22.6267921791246,94.1001221197113,48.619980968431,17.0575227646742
midnightblue,77.2525628912203,50.3599767347967,44.1046805637171,104.145149047644,164.833857658438,18.4703953956851,7.92545114862025,6.36351136519275,9.48739093204776,4.02695699636428,4.43721358189168,8.28980914849383,8.46325302141388,14.6237417622683,9.48739093204776,5.75474886218288,55.0019247252398,11.8491930923122,11.8821434499577
orange,75.1745695904355,49.5711874833296,41.7806650764494,100.777951697541,123.249016034984,10.9382568184159,-0.105283745635977,-1.85896290426853,1.64839541299657,-4.86906217698153,-0.434973576851142,-1.16394943501225,-2.5539763735248,3.9187543997316,5.064046821599,1.64839541299657,26.1712692612436,0.0599197299820055,8.74965514083967
orangered4,42.1365900925975,32.0054916196623,24.1040331609871,52.2676885655326,95.3137492805685,11.0526380124227,-1.66727948320195,-2.13089893084378,-1.20366003556012,-3.49477749737295,-2.14869098037426,-2.01114144201857,-2.1131068813133,-1.91743161767512,-1.20366003556012,2.08970065157278,5.27679490145315,-1.99678371528192,-0.505242462647178
paleturquoise,63.7607883134456,40.3822684290811,33.4376611460026,87.1393081978101,106.48602382876,12.4297481885289,9.9168663544941,10.780771354686,9.05296135430225,8.60577838350821,7.55022636295846,12.9557643258637,13.1885927463714,9.157950547619,6.47803420479239,9.05296135430225,82.4652289658116,11.1542859379958,7.37634373925207
pink,98.7555431674739,60.1090917460683,51.1654454681168,137.40199458888,158.141602649429,10.5609593048881,3.98893897783629,2.87597100238629,5.10190695328629,0.415166296193545,5.33677570857903,8.44038657004347,0.0762260792833311,1.71626789319214,4.19049964894122,5.10190695328629,29.2133414299383,8.67365466852637,9.00210792845264
plum1,47.050194665684,34.2440307561537,27.295389552326,59.8563585752144,116.120501060589,16.332117592024,5.36970537959051,4.90980779796234,5.82960296121869,5.37605707374537,2.85230165577624,4.4435585221793,22.3022112814752,13.9690900706427,6.92794052055166,4.53404237723273,15.0297095442099,5.82960296121869,7.17046958173937
purple,102.823568185801,61.1428387638442,50.4947885358147,144.504297607759,176.64738970084,11.7224223530034,-0.882859481573115,-1.55165152036749,-0.214067442778744,-4.43926367363023,0.859519317382109,0.42818729251462,-3.53149033324959,1.30054055288693,-0.214067442778744,2.59943085730721,12.8501103580723,-0.925506161385778,18.2434846354243
red,103.509280420751,64.9665271683226,59.272001403515,142.052033673179,145.368444063008,14.5638502520169,33.3125289557016,40.1995851560061,26.425472755397,31.530095793574,24.4947888164405,48.8690745184383,88.4040296990766,15.1838742501679,16.044754712891,26.425472755397,107.903392054142,34.9879544511967,14.6257573027755
royalblue,64.0232815993004,41.6180033624404,37.2528925590707,86.4285598361603,89.7679305030256,9.26789486651119,4.90906128968314,2.64406954913707,7.17405303022921,-0.269135340243615,4.58451831771076,6.02653679174033,0.703620780563369,3.02616968389152,10.6865581164306,6.59249850401991,53.6420347499604,7.17405303022921,12.9615494189012
saddlebrown,63.4576919982861,44.0104710765165,36.0418256623179,82.9049129200557,131.673364695322,17.4782582210709,17.4315464469917,20.865909365718,13.9971835282654,14.6632050540605,11.6652889314668,27.0686136773754,55.6934500298237,20.8946883426451,9.87589761177236,13.9971835282654,97.6585515110723,21.5328298747143,9.38860509315436
salmon,62.0881981416901,44.8926525288,42.5107209618665,79.2837437545802,127.496300968158,13.5945659175317,14.9898973078446,12.00972770769,17.9700669079993,4.75863658115141,7.27418826911233,16.7452671462677,21.2174926407521,10.4101658176922,17.9700669079993,14.0787063237079,34.8560758856753,21.5770950506639,16.6548191906438
sienna3,55.1207382499964,39.771472270211,29.4280671730291,70.4700042297818,103.69193405732,13.5034031005744,0.968218217585981,0.340089346505075,1.59634708866689,-0.638294631425898,-3.46699575811873,1.31847332443605,2.11977286606967,7.00837158552522,0.973916364055274,1.59634708866689,8.12075727058609,4.00172597359904,7.33777857978775
skyblue,59.7142457209099,40.7312580888852,34.669420261725,78.6972333529347,110.607350365386,17.8389400632193,13.8427417043899,14.398596085963,13.2868873228169,10.8455270231414,9.77837579829409,17.9516651487845,33.9021615408002,17.0704148849183,10.3973753055955,13.2868873228169,97.6068750185127,16.9583473809606,11.7454887323558
skyblue3,50.7396611320487,36.1722357807357,26.3036225852594,65.3070864833617,135.962092202166,19.2243207291782,7.36386063393421,10.3297719031142,4.3979493647542,10.1847701070296,5.82770350019264,10.4747736991988,66.9726636181921,24.7988387193474,4.3979493647542,3.68816250185512,59.7183063220977,6.34320604467847,5.08837679791586
steelblue,61.2258663300887,40.500737164293,34.1863363290772,81.9509954958845,103.563019921679,10.2584556115818,15.889250821737,15.3777378259732,16.4007638175007,7.99953478245034,13.6396924282683,51.068858057922,17.1157832236781,10.7154323300356,7.98282353613506,16.4007638175007,99.2155528699461,43.2868137801624,8.30609721354231
tan,74.8376248535204,47.5143711374727,43.4503199215006,108.299407765569,102.160878569568,9.06124462352532,-1.54490565472164,-3.312866600921,0.223055291477721,-4.66924234417423,-2.73048845678248,-2.70761962937503,-3.89524474505951,0.327936773896816,0.223055291477721,-1.0005069499029,23.4044258813105,1.45651459454262,10.3995451852093
turquoise,146.704415609304,86.6664366416906,75.2307179708073,206.742394576917,245.09215538889,14.6079085439964,3.1395863925668,1.86939923281056,4.40977355232304,-2.274943339071,6.01374180469211,8.4554517641483,-4.44978662262123,-2.8894684357105,1.83170669877418,4.40977355232304,40.3592329983233,8.10923236390513,15.1049641025964
violet,65.2144494526534,43.1376413074666,33.192757723045,87.2912575978402,145.823913976717,18.1343366412685,21.8136355428264,30.9220229508526,12.7052481348002,24.2154697272614,15.0508939080778,37.6285761744438,230.513483426943,40.3143048637004,6.80451882814527,12.7052481348002,88.2215498133485,19.5078285035509,6.98926768881512
white,61.5725320830386,41.4765392639549,35.2877302950117,81.6685249021222,100.004780109394,11.1199311914653,0.937811973387629,1.91680877541137,-0.0411848286361101,0.575692268712544,3.25792528211019,3.74920493370614,0.345913561384047,0.85990417822568,-0.0411848286361101,-0.645098414539317,86.1649009760722,1.80027674795605,10.6951901180677
yellow,97.8744438480278,60.3350154529404,50.8612237739543,135.413872243115,177.2798007717,17.2064812355532,9.12764888415798,3.9969599039275,14.2583378643885,2.67953822010912,0.0203920271462095,29.782234683846,5.31438158774588,13.2286622748645,14.2583378643885,-0.986909784456136,14.5502713699497,29.7760892623326,16.7768645587521
yellowgreen,50.6860106067652,36.7153273349423,27.5936160313325,64.656693878588,100.189188974474,15.3744490884638,4.91616511974548,3.52934720098154,6.30298303850942,-1.6758251816057,2.95807994684978,4.10061445511331,4.79036061702146,8.40783421798083,7.83253241076329,6.14819929472479,51.2233338310282,6.30298303850942,9.28137321690764
