Number,gene_id,gene_symbol,posColors,negColors,K1,K2,DiffK,ttest,gene,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj
14957,TOR1B,TOR1B,green,salmon,0.238769692,0.047842071,0.190927621,-7.305642184,TOR1B,660.801874311885,1.15841437552181,1.28128675243013,0.121978312979156,9.49688798958678,2.16256460481984e-21,5.36908152779972e-19
14959,TOR3A,TOR3A,grey,blue,0.090583266,0.139775187,-0.049191921,0.877249134,TOR3A,1291.96274336943,-0.0716788414205866,-0.0748319998615387,0.0831564808874506,-0.861975406554317,0.388701051455951,0.769952966176312
14967,TP53I13,TP53I13,grey,blue,0.11512599,0.046171288,0.068954701,1.669539909,TP53I13,142.485861325657,-0.209889355502894,-0.241540321604098,0.139666892934077,-1.5027853136388,0.132894414310364,0.500353124955633
14969,TP53INP1,TP53INP1,grey,green,0.116569529,0.098198622,0.018370908,2.964404602,TP53INP1,671.642540251015,-0.331266563282781,-0.36029003196385,0.112615407793742,-2.94157406852802,0.00326548738010591,0.048026614465521
14970,TP53RK,TP53RK,grey,yellow,0.086591794,0.058392275,0.028199519,-0.114619114,TP53RK,229.427412555722,0.000898106154549382,0.000969061931265315,0.107786537339864,0.0083322665029821,0.993351890126881,0.998727417540566
14973,TPCN1,TPCN1,grey,turquoise,0.122709592,0.104167939,0.018541654,5.176474579,TPCN1,1130.36628255909,-0.384619730506285,-0.40237825209759,0.0850070557404149,-4.52456242786239,6.05205875418201e-06,0.000269116599826153
14988,TPMT,TPMT,green,blue,0.364507949,0.043287017,0.321220933,-5.538953003,TPMT,794.96646489546,0.477858320627639,0.497204417243197,0.0800556788814814,5.96907461536969,2.38602983106054e-09,2.09078370280536e-07
14994,TPRA1,TPRA1,grey,turquoise,0.116709955,0.211467836,-0.094757881,-0.16162026,TPRA1,531.190725990968,0.0077288810912158,0.00810211412411979,0.0867773220076103,0.0890656788249121,0.92902971328941,0.984343331760171
14995,TPRG1-AS1,TPRG1-AS1,green,black,0.206058853,0.027902703,0.17815615,-1.962627057,TPRG1-AS1,36.0412865733394,0.361269348885592,0.491611016297767,0.182840351925331,1.97587318708032,0.0481691416880322,0.299902454600398
15001,TPT1-AS1,TPT1-AS1,grey,green,0.102539449,0.02858387,0.073955579,1.210749537,TPT1-AS1,58.6495246438926,-0.0898632132438998,-0.101799050796289,0.133170113563716,-0.674800154772749,0.499802742048277,0.837960140318098
15003,TPT1P5,TPT1P5,green,brown,0.086453181,0.18406328,-0.097610099,2.744551316,TPT1P5,16.0610292431589,-0.340383687108535,-0.381725311532189,0.12855778731271,-2.64770959600114,0.0081039106751856,0.0941288794584428
15016,TRAF3IP2-AS1,TRAF3IP2-AS1,grey,grey,0.111861072,0.019028659,0.092832413,1.44265543,TRAF3IP2-AS1,37.7774821046189,-0.0701508858335567,-0.0776560302060179,0.122222922453395,-0.573958504881159,0.565995881295703,0.869556984806682
15020,TRAF7,TRAF7,grey,turquoise,0.125559534,0.21328971,-0.087730175,0.447581684,TRAF7,500.077939853159,-0.0655435286247408,-0.06981165767312,0.0991740218857437,-0.660894127095623,0.508680212646304,0.84343396105558
15028,TRAP1,TRAP1,grey,blue,0.168103121,0.07585683,0.092246291,0.142130884,TRAP1,212.86334149327,-0.0423615759774346,-0.0480966876823336,0.134141710733609,-0.31579719496466,0.752156447343436,0.933037277501033
15040,TRAPPC5,TRAPPC5,grey,black,0.110560574,0.153339844,-0.04277927,-3.27031896,TRAPPC5,79.5033917723663,0.108893763512489,0.112928844371756,0.0768594354436469,1.41679109251758,0.156544014751841,0.534850168356756
15043,TRAPPC8,TRAPPC8,grey,blue,0.098010597,0.051309944,0.046700654,-0.265456691,TRAPPC8,477.851736544528,0.0393673445727055,0.0429849048078137,0.114913300205027,0.342583012605735,0.731912183529634,0.927967439791904
15052,TREX1,TREX1,green,turquoise,0.212114869,0.220936087,-0.008821218,-6.110447658,TREX1,19.9311506128712,0.460100492666521,0.529871377268782,0.140085480095955,3.28442671111499,0.00102190072293861,0.0199175136232568
15054,TRG-AS1,TRG-AS1,grey,grey,0.105133371,0.021929779,0.083203592,-1.895654988,TRG-AS1,90.4055940291635,0.266067978027854,0.357883091569979,0.180828807718461,1.47138048071469,0.141188249163302,0.512994337032707
15055,TRGV3,TRGV3,grey,blue,0.100295442,0.036368736,0.063926706,-0.87714031,TRGV3,12.6702479873669,0.150206999216133,0.246663265335643,0.20200415672894,0.743583704654595,0.457128364594477,0.810959765026251
15060,TRIAP1,TRIAP1,grey,blue,0.122167534,0.079851008,0.042316526,0.35874704,TRIAP1,496.012302552546,-0.0429983883262704,-0.0451681433152982,0.0885207938677253,-0.485743365457408,0.627149133070456,0.892482789068212
15062,TRIB3,TRIB3,grey,black,0.14367178,0.055732983,0.087938798,-0.802274148,TRIB3,188.012507621161,0.11439763641453,0.14772675996097,0.173049766498987,0.661067846140088,0.508568804547894,0.843368512948977
15065,TRIM14,TRIM14,green,blue,0.318136592,0.13596838,0.182168213,-7.9570098,TRIM14,1160.59296139379,0.954044778110945,1.02112973086874,0.102607528422407,9.29799979377154,1.43112514567659e-20,3.35349605765004e-18
15069,TRIM22,TRIM22,green,salmon,0.624680728,0.248891223,0.375789505,-10.6730515,TRIM22,5365.40379335235,1.37655684262626,1.46191432780209,0.0971200885634774,14.1737601662765,1.33174430281777e-45,1.32254892548879e-42
15071,TRIM24,TRIM24,grey,red,0.151788427,0.022593142,0.129195285,1.059283003,TRIM24,308.719137307605,-0.142515297315517,-0.157880349757229,0.12266261491311,-1.16184786551688,0.245297267191928,0.648867897930956
15072,TRIM25,TRIM25,grey,red,0.111956266,0.046007056,0.06594921,-4.460957359,TRIM25,531.547776413532,0.559381968743314,0.616101908567455,0.119719794415371,4.67242674008046,2.97661702696328e-06,0.000141406259902777
15078,TRIM34,TRIM34,green,turquoise,0.22264947,0.091661068,0.130988403,-4.149203753,TRIM34,13.8537556849204,0.126470993964157,0.13769727782257,0.11334986569616,1.11575777516286,0.264525832538571,0.669338296237793
